Cinsiyet,Kisi_Sayisi,Tatil_Turu,Atmosfer,Grup_Tipi,Yeme_Icme,Cevre,Konaklama_Tipi,Butce_TL,Onerilen_Yer,Gecelik_Fiyat_TL
Kadın,1,Doğa,Eğlenceli,Balayı,Her Şey Dahil,Dağ,Bungalov,7609,İzmir - Alaçatı (Eğlence/Gece Hayatı),4679
Erkek,3,Macera,Sessiz ve Aktif,Aile (Çocuksuz),Her Şey Dahil,Deniz,Villa,2990,Antalya - Olympos (Doğa/Bungalov),3702
Kadın,1,Doğa,Gece Hayatı,Tek Kişi,Sadece Kahvaltı,Deniz,Villa,10170,Amsterdam - Hollanda (Eğlence/Aktif),8145
Erkek,2,Orman,Gece Hayatı,Tek Kişi,Sadece Kahvaltı,Orman,Airbnb,18855,İsviçre Alpleri (Dağ/Doğa),19123
Erkek,6,Deniz,Eğlenceli,Balayı,Yemeksiz,Ada,Otel,20038,Norveç Fiyortları (Doğa/Macera),21046
Erkek,1,Macera,Sessiz,Arkadaş Grubu,Yemeksiz,Dağ,Otel,2224,Antalya - Kaş (Deniz/Eğlence),4117
Erkek,6,Orman,Aktif,Aile (Bebekli),Yemeksiz,Dağ,Villa,7982,Antalya - Olympos (Doğa/Bungalov),3483
Kadın,1,Macera,Sessiz,Arkadaş Grubu,Sadece Kahvaltı,Havuz,Bungalov,6808,Muğla - Fethiye (Deniz/Macera),4180
Kadın,1,Macera,Gece Hayatı,Aile (Çocuksuz),Yemeksiz,Deniz,Otel,10929,Amsterdam - Hollanda (Eğlence/Aktif),8136
Erkek,2,Orman,Eğlenceli,Aile (Bebekli),Her Şey Dahil,Orman,Airbnb,7147,Muğla - Fethiye (Deniz/Macera),3361
Kadın,4,Deniz,Sessiz,Arkadaş Grubu,Her Şey Dahil,Dağ,Airbnb,4961,Antalya - Olympos (Doğa/Bungalov),3326
Erkek,6,Orman,Eğlenceli,Tek Kişi,Her Şey Dahil,Ada,Bungalov,31650,Seyşeller (Lüks/Ada),28982
Erkek,3,Kültür,Eğlenceli,Aile (Bebekli),Her Şey Dahil,Havuz,Bungalov,3864,Antalya - Kaş (Deniz/Eğlence),4693
Erkek,1,Kültür,Eğlenceli,Tek Kişi,Sadece Kahvaltı,Ada,Otel,2925,Nevşehir - Kapadokya (Macera/Balayı),3398
Erkek,2,Orman,Sessiz,Arkadaş Grubu,Her Şey Dahil,Ada,Bungalov,2620,Rize - Ayder (Doğa/Orman),1646
Kadın,5,Deniz,Gece Hayatı,Arkadaş Grubu,Sadece Kahvaltı,Ada,Otel,2778,Antalya - Olympos (Doğa/Bungalov),3155
Kadın,6,Macera,Sessiz,Aile (Bebekli),Her Şey Dahil,Orman,Otel,16437,İbiza - İspanya (Gece Hayatı/Deniz),14347
Erkek,1,Orman,Eğlenceli,Aile (Çocuksuz),Sadece Kahvaltı,Orman,Villa,15119,İbiza - İspanya (Gece Hayatı/Deniz),13266
Kadın,4,Deniz,Gece Hayatı,Arkadaş Grubu,Yemeksiz,Dağ,Bungalov,3145,Nevşehir - Kapadokya (Macera/Balayı),3811
Erkek,5,Macera,Sessiz ve Aktif,Aile (Çocuksuz),Sadece Kahvaltı,Ada,Bungalov,19284,İsviçre Alpleri (Dağ/Doğa),18456
Kadın,6,Macera,Sessiz ve Aktif,Aile (Çocuksuz),Sadece Kahvaltı,Havuz,Airbnb,17629,Las Vegas - ABD (Gece Hayatı/Eğlence),16936
Kadın,1,Kültür,Sessiz ve Aktif,Aile (Çocuksuz),Sadece Kahvaltı,Havuz,Bungalov,28321,Seyşeller (Lüks/Ada),28664
Kadın,5,Doğa,Sessiz ve Aktif,Tek Kişi,Her Şey Dahil,Orman,Bungalov,1120,Bolu - Yedigöller (Doğa/Sessiz),2788
Erkek,2,Doğa,Gece Hayatı,Aile (Bebekli),Her Şey Dahil,Ada,Villa,4103,Bolu - Yedigöller (Doğa/Sessiz),1134
Erkek,2,Doğa,Sessiz ve Aktif,Aile (Bebekli),Yemeksiz,Deniz,Bungalov,11083,Muğla - Fethiye (Deniz/Macera),6302
Kadın,3,Kültür,Sessiz,Balayı,Yemeksiz,Deniz,Otel,12766,Amsterdam - Hollanda (Eğlence/Aktif),8699
Kadın,4,Macera,Gece Hayatı,Aile (Bebekli),Her Şey Dahil,Deniz,Bungalov,19082,Bali - Endonezya (Doğa/Egzotik),14579
Kadın,3,Deniz,Aktif,Aile (Bebekli),Yemeksiz,Dağ,Airbnb,5951,Rize - Ayder (Doğa/Orman),4189
Erkek,1,Orman,Sessiz,Arkadaş Grubu,Her Şey Dahil,Deniz,Bungalov,6839,Antalya - Olympos (Doğa/Bungalov),2891
Kadın,1,Orman,Sessiz ve Aktif,Tek Kişi,Yemeksiz,Ada,Villa,19337,Norveç Fiyortları (Doğa/Macera),19183
Kadın,5,Macera,Gece Hayatı,Arkadaş Grubu,Her Şey Dahil,Deniz,Bungalov,12637,Phuket - Tayland (Ada/Aktif),11484
Erkek,6,Kültür,Eğlenceli,Tek Kişi,Her Şey Dahil,Orman,Otel,17608,Machu Picchu - Peru (Macera/Kültür),14800
Kadın,3,Macera,Gece Hayatı,Arkadaş Grubu,Yemeksiz,Orman,Airbnb,688,Bolu - Yedigöller (Doğa/Sessiz),1307
Kadın,4,Deniz,Aktif,Aile (Bebekli),Sadece Kahvaltı,Havuz,Airbnb,6860,Bolu - Yedigöller (Doğa/Sessiz),2095
Kadın,4,Deniz,Sessiz,Tek Kişi,Her Şey Dahil,Deniz,Villa,16486,Kenya - Masai Mara Safari (Macera/Orman),17693
Erkek,6,Doğa,Sessiz,Aile (Çocuksuz),Sadece Kahvaltı,Deniz,Bungalov,8360,Nevşehir - Kapadokya (Macera/Balayı),5986
Kadın,4,Orman,Sessiz ve Aktif,Balayı,Yemeksiz,Havuz,Airbnb,29369,Seyşeller (Lüks/Ada),27535
Erkek,6,Doğa,Eğlenceli,Balayı,Her Şey Dahil,Dağ,Bungalov,20832,Norveç Fiyortları (Doğa/Macera),20400
Kadın,4,Kültür,Aktif,Balayı,Her Şey Dahil,Havuz,Villa,5657,Muğla - Fethiye (Deniz/Macera),5390
Erkek,4,Macera,Sessiz ve Aktif,Balayı,Yemeksiz,Orman,Airbnb,2968,Nevşehir - Kapadokya (Macera/Balayı),4833
Erkek,5,Kültür,Aktif,Tek Kişi,Yemeksiz,Orman,Airbnb,19888,İsviçre Alpleri (Dağ/Doğa),17714
Kadın,6,Kültür,Sessiz,Tek Kişi,Her Şey Dahil,Havuz,Villa,6170,Muğla - Fethiye (Deniz/Macera),5030
Kadın,3,Doğa,Gece Hayatı,Arkadaş Grubu,Yemeksiz,Havuz,Villa,28442,Seyşeller (Lüks/Ada),27181
Kadın,3,Doğa,Sessiz,Tek Kişi,Yemeksiz,Orman,Airbnb,11058,Muğla - Fethiye (Deniz/Macera),6336
Kadın,6,Macera,Gece Hayatı,Aile (Bebekli),Yemeksiz,Dağ,Bungalov,29990,Maldivler (Lüks/Ada/Balayı),26785
Kadın,4,Kültür,Sessiz,Balayı,Her Şey Dahil,Orman,Otel,11630,Machu Picchu - Peru (Macera/Kültür),13503
Erkek,1,Doğa,Gece Hayatı,Balayı,Sadece Kahvaltı,Orman,Airbnb,24269,Norveç Fiyortları (Doğa/Macera),21320
Kadın,6,Macera,Sessiz ve Aktif,Aile (Çocuksuz),Her Şey Dahil,Orman,Bungalov,12334,Mykonos - Yunanistan (Gece Hayatı),10907
Kadın,5,Kültür,Aktif,Arkadaş Grubu,Her Şey Dahil,Dağ,Airbnb,20454,Bali - Endonezya (Doğa/Egzotik),16599
Erkek,2,Orman,Sessiz ve Aktif,Aile (Çocuksuz),Her Şey Dahil,Orman,Otel,8699,Santorini - Yunanistan (Deniz/Balayı),10533
Erkek,1,Kültür,Eğlenceli,Arkadaş Grubu,Yemeksiz,Ada,Villa,13166,İbiza - İspanya (Gece Hayatı/Deniz),13198
Kadın,6,Kültür,Sessiz,Aile (Çocuksuz),Yemeksiz,Ada,Bungalov,10715,Phuket - Tayland (Ada/Aktif),11373
Kadın,5,Doğa,Eğlenceli,Tek Kişi,Sadece Kahvaltı,Havuz,Villa,24407,Maldivler (Lüks/Ada/Balayı),24130
Erkek,3,Orman,Eğlenceli,Balayı,Sadece Kahvaltı,Deniz,Bungalov,14438,Amsterdam - Hollanda (Eğlence/Aktif),10492
Kadın,2,Kültür,Aktif,Aile (Bebekli),Her Şey Dahil,Ada,Bungalov,12992,İbiza - İspanya (Gece Hayatı/Deniz),12869
Erkek,2,Orman,Gece Hayatı,Tek Kişi,Sadece Kahvaltı,Dağ,Otel,18726,Machu Picchu - Peru (Macera/Kültür),14405
Erkek,2,Orman,Gece Hayatı,Arkadaş Grubu,Sadece Kahvaltı,Havuz,Airbnb,6579,Rize - Ayder (Doğa/Orman),4478
Erkek,6,Kültür,Eğlenceli,Tek Kişi,Sadece Kahvaltı,Orman,Otel,6035,Bolu - Yedigöller (Doğa/Sessiz),2070
Kadın,4,Kültür,Sessiz ve Aktif,Aile (Bebekli),Her Şey Dahil,Deniz,Otel,12654,Santorini - Yunanistan (Deniz/Balayı),11401
Kadın,1,Doğa,Aktif,Arkadaş Grubu,Sadece Kahvaltı,Dağ,Villa,9988,Phuket - Tayland (Ada/Aktif),11386
Erkek,5,Doğa,Aktif,Balayı,Yemeksiz,Ada,Otel,10258,Amsterdam - Hollanda (Eğlence/Aktif),10320
Erkek,4,Orman,Sessiz,Balayı,Yemeksiz,Havuz,Otel,4411,Bolu - Yedigöller (Doğa/Sessiz),3230
Kadın,3,Orman,Eğlenceli,Tek Kişi,Sadece Kahvaltı,Deniz,Airbnb,10914,Santorini - Yunanistan (Deniz/Balayı),11363
Erkek,1,Doğa,Aktif,Aile (Çocuksuz),Yemeksiz,Havuz,Airbnb,2970,Bolu - Yedigöller (Doğa/Sessiz),1758
Kadın,5,Macera,Sessiz ve Aktif,Balayı,Her Şey Dahil,Havuz,Villa,9681,Nevşehir - Kapadokya (Macera/Balayı),5710
Erkek,4,Macera,Gece Hayatı,Balayı,Her Şey Dahil,Havuz,Otel,11440,Santorini - Yunanistan (Deniz/Balayı),8866
Erkek,6,Deniz,Eğlenceli,Aile (Çocuksuz),Yemeksiz,Dağ,Villa,5216,Muğla - Fethiye (Deniz/Macera),5946
Erkek,1,Deniz,Sessiz,Aile (Çocuksuz),Yemeksiz,Orman,Otel,17367,Machu Picchu - Peru (Macera/Kültür),15459
Erkek,1,Deniz,Aktif,Balayı,Yemeksiz,Ada,Otel,30200,Maldivler (Lüks/Ada/Balayı),25855
Erkek,3,Macera,Eğlenceli,Balayı,Yemeksiz,Havuz,Villa,14059,Bali - Endonezya (Doğa/Egzotik),15825
Erkek,4,Kültür,Gece Hayatı,Balayı,Sadece Kahvaltı,Dağ,Villa,11360,Amsterdam - Hollanda (Eğlence/Aktif),9499
Erkek,2,Doğa,Sessiz ve Aktif,Balayı,Sadece Kahvaltı,Dağ,Otel,6892,İzmir - Alaçatı (Eğlence/Gece Hayatı),5278
Erkek,3,Doğa,Gece Hayatı,Arkadaş Grubu,Sadece Kahvaltı,Orman,Airbnb,5114,Bolu - Yedigöller (Doğa/Sessiz),2268
Kadın,4,Macera,Aktif,Aile (Çocuksuz),Sadece Kahvaltı,Dağ,Villa,18163,Mykonos - Yunanistan (Gece Hayatı),13277
Kadın,1,Macera,Gece Hayatı,Aile (Bebekli),Her Şey Dahil,Havuz,Otel,7842,Muğla - Fethiye (Deniz/Macera),3400
Kadın,1,Macera,Aktif,Arkadaş Grubu,Her Şey Dahil,Ada,Villa,26298,Maldivler (Lüks/Ada/Balayı),25233
Erkek,5,Doğa,Sessiz,Aile (Çocuksuz),Yemeksiz,Dağ,Airbnb,6648,İzmir - Alaçatı (Eğlence/Gece Hayatı),3735
Erkek,5,Kültür,Eğlenceli,Arkadaş Grubu,Sadece Kahvaltı,Orman,Villa,3053,Antalya - Kaş (Deniz/Eğlence),4692
Kadın,1,Orman,Sessiz ve Aktif,Balayı,Her Şey Dahil,Deniz,Airbnb,4710,Antalya - Olympos (Doğa/Bungalov),2082
Kadın,4,Macera,Sessiz,Balayı,Her Şey Dahil,Havuz,Otel,22686,Norveç Fiyortları (Doğa/Macera),22175
Erkek,3,Doğa,Eğlenceli,Aile (Çocuksuz),Yemeksiz,Deniz,Bungalov,6549,Antalya - Kaş (Deniz/Eğlence),2918
Erkek,6,Doğa,Gece Hayatı,Aile (Bebekli),Yemeksiz,Ada,Airbnb,6041,Antalya - Olympos (Doğa/Bungalov),1423
Kadın,3,Orman,Sessiz ve Aktif,Aile (Çocuksuz),Sadece Kahvaltı,Ada,Villa,9806,Amsterdam - Hollanda (Eğlence/Aktif),8114
Erkek,3,Deniz,Gece Hayatı,Tek Kişi,Her Şey Dahil,Havuz,Airbnb,15277,Mykonos - Yunanistan (Gece Hayatı),12189
Kadın,4,Macera,Eğlenceli,Aile (Bebekli),Her Şey Dahil,Orman,Airbnb,5968,Bolu - Yedigöller (Doğa/Sessiz),3985
Erkek,5,Doğa,Sessiz,Balayı,Her Şey Dahil,Deniz,Villa,25886,Maldivler (Lüks/Ada/Balayı),24078
Kadın,4,Doğa,Eğlenceli,Balayı,Yemeksiz,Havuz,Airbnb,5281,Antalya - Olympos (Doğa/Bungalov),2554
Kadın,1,Kültür,Aktif,Aile (Bebekli),Her Şey Dahil,Dağ,Villa,10059,Amsterdam - Hollanda (Eğlence/Aktif),10256
Erkek,1,Orman,Aktif,Aile (Çocuksuz),Yemeksiz,Dağ,Villa,23779,İsviçre Alpleri (Dağ/Doğa),19162
Erkek,1,Deniz,Sessiz,Tek Kişi,Yemeksiz,Orman,Airbnb,26760,Maldivler (Lüks/Ada/Balayı),27231
Erkek,4,Macera,Gece Hayatı,Aile (Çocuksuz),Yemeksiz,Ada,Otel,4646,Antalya - Kaş (Deniz/Eğlence),4327
Kadın,3,Doğa,Sessiz,Tek Kişi,Yemeksiz,Deniz,Otel,24803,Maldivler (Lüks/Ada/Balayı),24158
Erkek,6,Orman,Sessiz,Tek Kişi,Her Şey Dahil,Dağ,Otel,7525,Rize - Ayder (Doğa/Orman),4125
Erkek,5,Orman,Sessiz ve Aktif,Aile (Çocuksuz),Yemeksiz,Havuz,Villa,32508,Seyşeller (Lüks/Ada),29213
Erkek,6,Orman,Aktif,Balayı,Sadece Kahvaltı,Dağ,Villa,4253,Nevşehir - Kapadokya (Macera/Balayı),5476
Kadın,3,Deniz,Aktif,Tek Kişi,Sadece Kahvaltı,Orman,Otel,6572,Antalya - Kaş (Deniz/Eğlence),2903
Kadın,4,Deniz,Eğlenceli,Aile (Çocuksuz),Her Şey Dahil,Ada,Bungalov,21028,Norveç Fiyortları (Doğa/Macera),19921
Erkek,3,Kültür,Sessiz,Aile (Çocuksuz),Sadece Kahvaltı,Havuz,Airbnb,13689,Santorini - Yunanistan (Deniz/Balayı),10021
Kadın,5,Deniz,Eğlenceli,Tek Kişi,Her Şey Dahil,Orman,Otel,15862,İsviçre Alpleri (Dağ/Doğa),17592
Kadın,4,Deniz,Aktif,Balayı,Her Şey Dahil,Ada,Villa,11591,Phuket - Tayland (Ada/Aktif),11186
Erkek,4,Doğa,Gece Hayatı,Tek Kişi,Yemeksiz,Havuz,Airbnb,2354,Antalya - Kaş (Deniz/Eğlence),2899
Kadın,6,Doğa,Eğlenceli,Aile (Bebekli),Sadece Kahvaltı,Deniz,Airbnb,17265,Bali - Endonezya (Doğa/Egzotik),16402
Erkek,1,Doğa,Aktif,Tek Kişi,Her Şey Dahil,Orman,Otel,15691,Las Vegas - ABD (Gece Hayatı/Eğlence),15879
Kadın,2,Kültür,Sessiz,Arkadaş Grubu,Yemeksiz,Orman,Airbnb,26762,Maldivler (Lüks/Ada/Balayı),25993
Erkek,5,Macera,Eğlenceli,Balayı,Her Şey Dahil,Havuz,Bungalov,24848,Norveç Fiyortları (Doğa/Macera),21832
Erkek,4,Orman,Aktif,Aile (Çocuksuz),Yemeksiz,Deniz,Airbnb,8621,Nevşehir - Kapadokya (Macera/Balayı),4374
Kadın,3,Deniz,Sessiz,Arkadaş Grubu,Her Şey Dahil,Orman,Villa,6633,İzmir - Alaçatı (Eğlence/Gece Hayatı),4209
Erkek,1,Deniz,Aktif,Arkadaş Grubu,Yemeksiz,Deniz,Bungalov,16961,Bali - Endonezya (Doğa/Egzotik),16815
Erkek,5,Deniz,Sessiz,Tek Kişi,Sadece Kahvaltı,Dağ,Villa,5873,Nevşehir - Kapadokya (Macera/Balayı),5946
Kadın,5,Deniz,Gece Hayatı,Tek Kişi,Sadece Kahvaltı,Havuz,Airbnb,9286,Antalya - Kaş (Deniz/Eğlence),5972
Erkek,1,Deniz,Gece Hayatı,Aile (Çocuksuz),Her Şey Dahil,Ada,Otel,13972,Mykonos - Yunanistan (Gece Hayatı),11071
Kadın,6,Doğa,Eğlenceli,Tek Kişi,Sadece Kahvaltı,Orman,Villa,4579,Antalya - Olympos (Doğa/Bungalov),1688
Erkek,5,Kültür,Sessiz ve Aktif,Aile (Bebekli),Sadece Kahvaltı,Havuz,Villa,1489,Antalya - Olympos (Doğa/Bungalov),1842
Kadın,3,Deniz,Eğlenceli,Tek Kişi,Sadece Kahvaltı,Deniz,Airbnb,7092,Bolu - Yedigöller (Doğa/Sessiz),3310
Kadın,2,Deniz,Sessiz ve Aktif,Tek Kişi,Her Şey Dahil,Deniz,Otel,24035,Norveç Fiyortları (Doğa/Macera),20045
Kadın,5,Orman,Sessiz ve Aktif,Aile (Bebekli),Yemeksiz,Orman,Airbnb,4388,Nevşehir - Kapadokya (Macera/Balayı),2767
Kadın,6,Orman,Aktif,Arkadaş Grubu,Sadece Kahvaltı,Orman,Airbnb,17014,Bali - Endonezya (Doğa/Egzotik),14172
Kadın,4,Kültür,Gece Hayatı,Arkadaş Grubu,Yemeksiz,Deniz,Airbnb,19967,Las Vegas - ABD (Gece Hayatı/Eğlence),17047
Kadın,2,Kültür,Aktif,Balayı,Her Şey Dahil,Orman,Airbnb,7634,Santorini - Yunanistan (Deniz/Balayı),8392
Erkek,6,Doğa,Gece Hayatı,Aile (Bebekli),Yemeksiz,Orman,Villa,2181,Muğla - Fethiye (Deniz/Macera),3641
Erkek,5,Kültür,Sessiz,Balayı,Her Şey Dahil,Havuz,Bungalov,945,Bolu - Yedigöller (Doğa/Sessiz),2479
Erkek,2,Kültür,Sessiz,Arkadaş Grubu,Sadece Kahvaltı,Orman,Airbnb,20754,İsviçre Alpleri (Dağ/Doğa),18182
Kadın,6,Doğa,Gece Hayatı,Aile (Bebekli),Sadece Kahvaltı,Deniz,Villa,22106,İsviçre Alpleri (Dağ/Doğa),19899
Kadın,4,Deniz,Eğlenceli,Aile (Çocuksuz),Yemeksiz,Orman,Bungalov,10291,İbiza - İspanya (Gece Hayatı/Deniz),11893
Erkek,2,Orman,Sessiz ve Aktif,Arkadaş Grubu,Her Şey Dahil,Orman,Bungalov,19834,Kenya - Masai Mara Safari (Macera/Orman),17377
Erkek,5,Orman,Sessiz ve Aktif,Arkadaş Grubu,Yemeksiz,Dağ,Airbnb,9349,Muğla - Fethiye (Deniz/Macera),4643
Kadın,3,Deniz,Sessiz ve Aktif,Balayı,Her Şey Dahil,Havuz,Otel,3737,Antalya - Olympos (Doğa/Bungalov),3599
Erkek,1,Orman,Eğlenceli,Balayı,Sadece Kahvaltı,Ada,Villa,11174,Amsterdam - Hollanda (Eğlence/Aktif),8949
Kadın,2,Deniz,Gece Hayatı,Balayı,Yemeksiz,Dağ,Villa,33758,Seyşeller (Lüks/Ada),29266
Kadın,5,Kültür,Eğlenceli,Aile (Çocuksuz),Sadece Kahvaltı,Orman,Airbnb,17844,İbiza - İspanya (Gece Hayatı/Deniz),13721
Kadın,5,Macera,Sessiz,Tek Kişi,Yemeksiz,Dağ,Bungalov,9709,Muğla - Fethiye (Deniz/Macera),5606
Kadın,2,Deniz,Gece Hayatı,Aile (Çocuksuz),Yemeksiz,Dağ,Bungalov,12689,Santorini - Yunanistan (Deniz/Balayı),9248
Kadın,6,Orman,Sessiz,Arkadaş Grubu,Her Şey Dahil,Havuz,Villa,5106,Antalya - Olympos (Doğa/Bungalov),1679
Erkek,4,Orman,Sessiz,Balayı,Yemeksiz,Ada,Otel,21857,Norveç Fiyortları (Doğa/Macera),21506
Kadın,4,Doğa,Sessiz,Balayı,Her Şey Dahil,Orman,Airbnb,25433,Seyşeller (Lüks/Ada),27244
Kadın,6,Orman,Gece Hayatı,Tek Kişi,Yemeksiz,Havuz,Villa,34270,Seyşeller (Lüks/Ada),30066
Kadın,4,Orman,Sessiz ve Aktif,Arkadaş Grubu,Sadece Kahvaltı,Ada,Otel,8363,Santorini - Yunanistan (Deniz/Balayı),10155
Erkek,4,Orman,Sessiz,Aile (Bebekli),Her Şey Dahil,Dağ,Airbnb,12662,Santorini - Yunanistan (Deniz/Balayı),10334
Erkek,4,Deniz,Sessiz ve Aktif,Aile (Çocuksuz),Her Şey Dahil,Deniz,Villa,17240,Bali - Endonezya (Doğa/Egzotik),16993
Erkek,1,Orman,Aktif,Tek Kişi,Her Şey Dahil,Orman,Villa,5352,Rize - Ayder (Doğa/Orman),3484
Kadın,4,Kültür,Gece Hayatı,Arkadaş Grubu,Her Şey Dahil,Orman,Bungalov,11125,Mykonos - Yunanistan (Gece Hayatı),10701
Kadın,2,Orman,Gece Hayatı,Aile (Çocuksuz),Sadece Kahvaltı,Deniz,Villa,18990,Norveç Fiyortları (Doğa/Macera),19986
Erkek,1,Orman,Gece Hayatı,Balayı,Her Şey Dahil,Havuz,Villa,10572,Mykonos - Yunanistan (Gece Hayatı),12081
Erkek,3,Deniz,Sessiz ve Aktif,Aile (Çocuksuz),Her Şey Dahil,Dağ,Bungalov,12740,Mykonos - Yunanistan (Gece Hayatı),10484
Erkek,6,Orman,Sessiz ve Aktif,Balayı,Sadece Kahvaltı,Deniz,Otel,12337,Amsterdam - Hollanda (Eğlence/Aktif),7622
Erkek,2,Doğa,Aktif,Aile (Bebekli),Her Şey Dahil,Orman,Otel,10301,Santorini - Yunanistan (Deniz/Balayı),8343
Erkek,6,Macera,Sessiz,Arkadaş Grubu,Her Şey Dahil,Orman,Villa,19560,Las Vegas - ABD (Gece Hayatı/Eğlence),17258
Kadın,5,Orman,Eğlenceli,Aile (Bebekli),Yemeksiz,Ada,Villa,18377,İsviçre Alpleri (Dağ/Doğa),17550
Kadın,4,Doğa,Sessiz ve Aktif,Aile (Bebekli),Sadece Kahvaltı,Dağ,Airbnb,21769,Norveç Fiyortları (Doğa/Macera),20348
Erkek,5,Doğa,Sessiz,Arkadaş Grubu,Yemeksiz,Havuz,Bungalov,8684,Santorini - Yunanistan (Deniz/Balayı),8842
Erkek,1,Macera,Aktif,Aile (Çocuksuz),Yemeksiz,Ada,Villa,6423,Antalya - Olympos (Doğa/Bungalov),3498
Erkek,3,Orman,Sessiz ve Aktif,Tek Kişi,Yemeksiz,Havuz,Otel,12048,Santorini - Yunanistan (Deniz/Balayı),9192
Erkek,6,Doğa,Gece Hayatı,Balayı,Her Şey Dahil,Deniz,Airbnb,9178,Nevşehir - Kapadokya (Macera/Balayı),5128
Erkek,1,Deniz,Gece Hayatı,Tek Kişi,Sadece Kahvaltı,Dağ,Bungalov,9770,İzmir - Alaçatı (Eğlence/Gece Hayatı),6564
Erkek,2,Macera,Sessiz ve Aktif,Aile (Çocuksuz),Her Şey Dahil,Orman,Villa,20013,İsviçre Alpleri (Dağ/Doğa),18114
Kadın,1,Orman,Sessiz ve Aktif,Arkadaş Grubu,Sadece Kahvaltı,Havuz,Villa,12072,Mykonos - Yunanistan (Gece Hayatı),12550
Erkek,2,Doğa,Gece Hayatı,Arkadaş Grubu,Yemeksiz,Dağ,Bungalov,28892,Seyşeller (Lüks/Ada),27540
Erkek,3,Doğa,Sessiz ve Aktif,Balayı,Sadece Kahvaltı,Havuz,Airbnb,6204,Muğla - Fethiye (Deniz/Macera),3631
Kadın,1,Orman,Sessiz,Balayı,Sadece Kahvaltı,Ada,Villa,27063,Maldivler (Lüks/Ada/Balayı),25639
Kadın,3,Orman,Gece Hayatı,Arkadaş Grubu,Yemeksiz,Deniz,Bungalov,10930,İzmir - Alaçatı (Eğlence/Gece Hayatı),6815
Kadın,5,Doğa,Sessiz ve Aktif,Aile (Çocuksuz),Her Şey Dahil,Ada,Airbnb,7865,Muğla - Fethiye (Deniz/Macera),4554
Kadın,2,Orman,Sessiz ve Aktif,Aile (Bebekli),Yemeksiz,Deniz,Villa,16542,İbiza - İspanya (Gece Hayatı/Deniz),11563
Kadın,1,Doğa,Eğlenceli,Arkadaş Grubu,Her Şey Dahil,Dağ,Villa,2124,Bolu - Yedigöller (Doğa/Sessiz),1944
Erkek,4,Macera,Sessiz,Aile (Çocuksuz),Her Şey Dahil,Ada,Villa,3018,Rize - Ayder (Doğa/Orman),2690
Erkek,3,Kültür,Sessiz ve Aktif,Arkadaş Grubu,Yemeksiz,Orman,Bungalov,5457,Antalya - Kaş (Deniz/Eğlence),5783
Kadın,6,Doğa,Sessiz ve Aktif,Tek Kişi,Her Şey Dahil,Dağ,Villa,12828,Las Vegas - ABD (Gece Hayatı/Eğlence),14598
Kadın,3,Deniz,Aktif,Tek Kişi,Her Şey Dahil,Havuz,Airbnb,18196,Kenya - Masai Mara Safari (Macera/Orman),16250
Kadın,6,Macera,Sessiz ve Aktif,Arkadaş Grubu,Yemeksiz,Dağ,Airbnb,3373,Rize - Ayder (Doğa/Orman),3454
Kadın,5,Deniz,Aktif,Tek Kişi,Yemeksiz,Deniz,Airbnb,25976,Maldivler (Lüks/Ada/Balayı),27173
Kadın,6,Deniz,Sessiz ve Aktif,Aile (Çocuksuz),Yemeksiz,Ada,Bungalov,6259,İzmir - Alaçatı (Eğlence/Gece Hayatı),3809
Kadın,1,Kültür,Gece Hayatı,Aile (Bebekli),Sadece Kahvaltı,Ada,Otel,16667,Kenya - Masai Mara Safari (Macera/Orman),18261
Kadın,6,Doğa,Sessiz ve Aktif,Tek Kişi,Sadece Kahvaltı,Ada,Villa,19800,Machu Picchu - Peru (Macera/Kültür),15712
Kadın,5,Kültür,Gece Hayatı,Balayı,Yemeksiz,Orman,Airbnb,7646,Antalya - Kaş (Deniz/Eğlence),4862
Kadın,2,Doğa,Sessiz ve Aktif,Aile (Çocuksuz),Yemeksiz,Dağ,Airbnb,18785,İsviçre Alpleri (Dağ/Doğa),17419
Kadın,6,Doğa,Eğlenceli,Aile (Bebekli),Yemeksiz,Deniz,Villa,8054,Amsterdam - Hollanda (Eğlence/Aktif),7606
Erkek,5,Doğa,Gece Hayatı,Balayı,Her Şey Dahil,Havuz,Airbnb,4537,Bolu - Yedigöller (Doğa/Sessiz),1408
Kadın,2,Orman,Sessiz,Aile (Bebekli),Her Şey Dahil,Dağ,Otel,17613,Phuket - Tayland (Ada/Aktif),13526
Erkek,2,Kültür,Sessiz ve Aktif,Aile (Çocuksuz),Her Şey Dahil,Ada,Villa,19734,Kenya - Masai Mara Safari (Macera/Orman),18348
Kadın,3,Macera,Gece Hayatı,Balayı,Sadece Kahvaltı,Deniz,Bungalov,18209,Phuket - Tayland (Ada/Aktif),13241
Kadın,2,Orman,Sessiz ve Aktif,Balayı,Sadece Kahvaltı,Deniz,Villa,11226,Mykonos - Yunanistan (Gece Hayatı),11530
Erkek,4,Kültür,Sessiz,Tek Kişi,Yemeksiz,Deniz,Villa,13349,Las Vegas - ABD (Gece Hayatı/Eğlence),14769
Kadın,2,Deniz,Aktif,Aile (Çocuksuz),Her Şey Dahil,Havuz,Otel,21752,Norveç Fiyortları (Doğa/Macera),21478
Erkek,6,Deniz,Sessiz ve Aktif,Arkadaş Grubu,Yemeksiz,Havuz,Villa,22210,Norveç Fiyortları (Doğa/Macera),22185
